DOCUMENTOASSOCIADO;BI;EXCEL
4-58641064521;2;1
4-58643331247;2;1
4-58651776768;2;1
4-58811697763;2;1
4-58902672015;2;1
4-59198863207;2;1
4-59607787757;2;1
4-59642006323;2;1
4-59673274539;2;1
4-60568017390;2;1
4-60991105273;2;1
4-61033769839;2;1
4-61388411382;2;1
4-61455202487;2;1
4-62001651555;2;1
4-62563676147;2;1
4-62696500087;2;1
4-63218057002;2;1
4-63233088291;2;1
4-63656045969;2;1
4-63660409236;2;1
4-63931609990;2;1
4-64099449003;2;1
4-64207871032;2;1
4-64713421614;2;1
4-65307145834;2;1
4-66238724958;2;1
4-66415919937;2;1
4-67265612307;2;1
4-67509158208;2;1
4-68182772888;2;1
4-68281540292;2;1
4-68592723468;2;1
4-68920692718;2;1
4-69303197750;2;1
4-69327228644;2;1
4-69336921906;2;1
4-69729312135;2;1
4-69873542276;2;1
4-70073415955;2;1
4-70482036309;2;1
4-70880035714;2;1
4-71391179347;2;1
4-72300801588;2;1
4-72655206501;2;1
4-72694065883;2;1
4-73037192275;2;1
4-73316016409;2;1
4-73419422982;2;1
4-73836401430;2;1
4-73859080173;2;1
4-73882020405;2;1
4-74017209111;2;1
4-74439364461;2;1
4-74565430278;2;1
4-74572858481;2;1
4-75045122294;2;1
4-75073591238;2;1
4-75669554498;2;1
4-75958139734;2;1
4-76252666735;2;1
4-77188571640;2;1
4-77277188168;2;1
4-77901422504;2;1
4-78134260201;2;1
4-78330699182;2;1
4-79656032037;2;1
4-79677152931;2;1
4-80464683251;2;1
4-80506487734;2;1
4-81475549073;2;1
4-81802354323;2;1
4-81804957985;2;1
4-81852893059;2;1
4-82034594356;2;1
4-82320901251;2;1
4-82334359145;2;1
4-84163968216;2;1
4-84302566803;2;1
4-84584961684;2;1
4-84631672980;2;1
4-84879587791;2;1
4-85290883624;2;1
4-85540630891;2;1
4-85966810085;2;1
4-86003817250;2;1
4-86136783965;2;1
4-86508944462;2;1
4-86627960208;2;1
4-87120624190;2;1
4-87256343596;2;1
4-87317974947;2;1
4-87334681392;2;1
4-87390968748;2;1
4-87884857282;2;1
4-87888936272;2;1
4-87919583143;2;1
4-88076374738;2;1
4-88186506833;2;1
4-88201617457;2;1
4-88295950015;2;1
4-88322824461;2;1
4-88375738060;2;1
4-88501246492;2;1
4-88501313004;2;1
4-88509892371;2;1
4-88520541937;2;1
4-88588853867;2;1
4-88597313407;2;1
4-88605614893;2;1
4-88714421260;2;1
4-88832188138;2;1
4-88840908420;2;1
4-88857647549;2;1
4-88891817940;2;1
4-88985456905;2;1
4-88987061737;2;1
4-89010948445;2;1
4-89021975054;2;1
4-89033637849;2;1
4-89071513450;2;1
4-89086728788;2;1
4-89087754266;2;1
4-89089006245;2;1
4-89089531706;2;1
4-89089811185;2;1
4-89095502171;2;1
4-89096550724;2;1
4-89102326365;2;1
4-89107467199;2;1
4-89109643194;2;1
4-89142029122;2;1
4-89149500644;2;1
4-89161775296;2;1
4-89168361969;2;1
4-89179902400;2;1
4-89180496298;2;1
4-89181789475;2;1
4-89184308763;2;1
4-89289337446;2;1
4-89302390004;2;1
4-89308091819;2;1
4-89318100412;2;1
